credit_card_id,customer_id,card_type,card_limit,current_balance,last_payment_date,payment_due_date,payment_status,credit_utilization,credit_card_number,bank_name
068,14,visa,75000,13423,2024-10-13,2024-11-12,Overdue,0.18,4770246602637778,Yes Bank
069,14,amex,15000,7368,2024-09-07,2024-10-07,Pending,0.49,3.78699E+14,Bank of India
070,327,visa,100000,15386,2024-09-24,2024-10-24,Paid,0.15,4448309881952656,Kotak Mahindra
071,327,mastercard,400000,319952,2024-07-30,2024-08-29,Overdue,0.8,5322052258752634,Central Bank of India
072,1430,visa,200000,36499,2024-06-19,2024-07-19,Paid,0.18,4338098309745676,Kotak Mahindra
073,866,visa,200000,91964,2024-07-06,2024-08-05,Overdue,0.46,4960677206972569,IDFC First Bank
074,697,visa,50000,46140,2024-09-06,2024-10-06,Pending,0.92,4819577875145286,Indian Bank
075,697,mastercard,150000,24962,2024-03-01,2024-03-31,Paid,0.17,2705343225779345,Central Bank of India
076,1544,visa,40000,8315,2024-04-25,2024-05-25,Overdue,0.21,4656536573505429,Punjab National Bank
077,1544,visa,25000,23310,2024-10-13,2024-11-12,Pending,0.93,4006522972909047,Yes Bank
078,1544,mastercard,100000,18634,2024-04-30,2024-05-30,Overdue,0.19,5355372059774623,IDFC First Bank
079,319,mastercard,75000,59243,2024-02-26,2024-03-27,Paid,0.79,2720839776480515,SBI
080,319,mastercard,150000,72935,2024-10-11,2024-11-10,Overdue,0.49,2720606407781706,Bank of India
081,319,mastercard,100000,42898,2024-03-01,2024-03-31,Overdue,0.43,2334051506517594,HDFC
082,441,visa,400000,240359,2024-07-18,2024-08-17,Overdue,0.6,4494159336495212,Bank of India
083,690,visa,500000,280192,2024-04-20,2024-05-20,Pending,0.56,4256161306785372,Kotak Mahindra
084,690,mastercard,30000,16210,2024-03-10,2024-04-09,Pending,0.54,2239612607753408,Canara Bank
085,690,amex,50000,35868,2024-06-23,2024-07-23,Overdue,0.72,3.45937E+14,Punjab National Bank
086,1569,mastercard,500000,180218,2024-05-10,2024-06-09,Overdue,0.36,2295228735890326,ICICI
087,1569,visa,20000,15059,2024-05-18,2024-06-17,Paid,0.75,4742169974744649,Axis Bank
088,1569,discover,100000,59836,2024-02-07,2024-03-08,Paid,0.6,6011999228388630,Central Bank of India
089,190,visa,400000,69160,2024-06-13,2024-07-13,Overdue,0.17,4607540466232000,Indian Bank
090,190,visa,40000,6117,2024-02-14,2024-03-15,Overdue,0.15,4722050853847386,Bank of India
091,190,mastercard,20000,12184,2024-10-29,2024-11-28,Overdue,0.61,2720523576662130,Bank of Baroda
092,779,visa,75000,40043,2024-01-13,2024-02-12,Overdue,0.53,4496856578749390,Yes Bank
093,779,mastercard,300000,47814,2024-08-04,2024-09-03,Overdue,0.16,2280891574113071,Axis Bank
094,199,visa,30000,15624,2024-05-20,2024-06-19,Paid,0.52,4241841942384155,Punjab National Bank
095,736,visa,150000,116671,2024-11-03,2024-12-03,Paid,0.78,4364358184677734,HDFC
096,736,mastercard,20000,13838,2024-10-15,2024-11-14,Overdue,0.69,2720933301211592,Punjab National Bank
097,705,mastercard,20000,7502,2024-08-31,2024-09-30,Pending,0.38,5437241159854787,SBI
098,705,visa,20000,10267,2024-09-04,2024-10-04,Pending,0.51,4016503344572703,Indian Bank
099,705,discover,75000,17451,2024-06-08,2024-07-08,Overdue,0.23,6011799871187101,Punjab National Bank
100,1237,visa,150000,147663,2024-03-12,2024-04-11,Paid,0.98,4213660428874198,Andhra Bank
101,542,visa,100000,46030,2024-03-29,2024-04-28,Overdue,0.46,4609004077844693,Kotak Mahindra
102,542,visa,75000,57984,2024-11-09,2024-12-09,Paid,0.77,4721242506916970,SBI
103,89,visa,25000,24656,2024-03-23,2024-04-22,Paid,0.99,4130755660052469,Bank of Maharashtra
104,1495,mastercard,50000,28140,2024-03-04,2024-04-03,Pending,0.56,2467462353619889,Punjab National Bank
105,1495,visa,40000,5521,2024-03-30,2024-04-29,Paid,0.14,4434250755113726,Federal Bank
106,941,mastercard,500000,493501,2024-03-13,2024-04-12,Overdue,0.99,2296841278713462,HDFC
107,1099,mastercard,30000,16965,2024-07-30,2024-08-29,Overdue,0.57,5287057225386922,RBL Bank
108,1099,visa,400000,205390,2024-06-09,2024-07-09,Pending,0.51,4430566696659061,ICICI
109,256,visa,100000,50578,2024-01-05,2024-02-04,Paid,0.51,4084235743964135,Yes Bank
110,256,mastercard,300000,37230,2024-07-06,2024-08-05,Overdue,0.12,2657530963014723,HDFC
111,256,amex,50000,8649,2024-01-22,2024-02-21,Pending,0.17,3.40765E+14,Bank of Maharashtra
112,776,mastercard,50000,35806,2024-05-21,2024-06-20,Overdue,0.72,2251334875840394,Bank of Baroda
113,776,mastercard,500000,38268,2024-11-01,2024-12-01,Paid,0.08,5277062468222885,Bank of Maharashtra
114,162,visa,15000,4295,2024-08-17,2024-09-16,Paid,0.29,4191289725058580,ICICI
115,162,visa,500000,208653,2024-08-05,2024-09-04,Overdue,0.42,4117411733262464,Indian Bank
116,162,mastercard,75000,52727,2024-01-21,2024-02-20,Paid,0.7,2223489172924716,Federal Bank
117,1131,visa,40000,5478,2024-05-19,2024-06-18,Pending,0.14,4460361682233268,SBI
118,1131,visa,500000,81462,2024-05-24,2024-06-23,Overdue,0.16,4583260182325008,Canara Bank
119,601,mastercard,200000,166276,2024-04-10,2024-05-10,Overdue,0.83,2709454954599311,SBI
120,601,mastercard,400000,229368,2024-10-14,2024-11-13,Overdue,0.57,2255213458091219,Yes Bank
121,601,visa,30000,2825,2024-06-04,2024-07-04,Pending,0.09,4420550233400942,Axis Bank
122,1288,mastercard,200000,159601,2024-01-19,2024-02-18,Paid,0.8,2294171933265001,Indian Bank
123,1288,visa,20000,415,2024-04-23,2024-05-23,Overdue,0.02,4181200569246571,Punjab National Bank
124,1288,rupay,15000,2684,2024-03-29,2024-04-28,Pending,0.18,6.24821E+13,RBL Bank
125,1267,mastercard,25000,12185,2024-07-29,2024-08-28,Paid,0.49,5334079701259152,IDFC First Bank
126,1267,visa,500000,471805,2024-04-18,2024-05-18,Paid,0.94,4338222047034439,Canara Bank
127,741,mastercard,40000,34331,2024-04-05,2024-05-05,Paid,0.86,2252198000713282,IDFC First Bank
128,741,visa,100000,59663,2024-07-26,2024-08-25,Overdue,0.6,4725797170541921,Bank of India
129,1183,visa,100000,74302,2024-07-06,2024-08-05,Paid,0.74,4160355210908949,Bank of India
130,394,visa,40000,6743,2024-07-04,2024-08-03,Overdue,0.17,4929869302802176,Axis Bank
131,394,visa,400000,266770,2024-05-09,2024-06-08,Paid,0.67,4183540639057609,ICICI
132,1443,visa,30000,1506,2024-03-24,2024-04-23,Pending,0.05,4074858082941356,Bank of India
133,143,mastercard,25000,5864,2024-06-06,2024-07-06,Paid,0.23,2276571212606365,Federal Bank
134,143,mastercard,30000,10544,2024-09-12,2024-10-12,Paid,0.35,5241845020230906,Central Bank of India
135,94,mastercard,40000,5104,2024-04-04,2024-05-04,Overdue,0.13,2240852301487609,Bank of India
136,1355,visa,150000,13807,2024-06-27,2024-07-27,Paid,0.09,4769415108522320,Yes Bank
137,1355,visa,75000,9034,2024-05-02,2024-06-01,Pending,0.12,4844647755446572,Indian Bank
138,1355,mastercard,50000,5661,2024-07-13,2024-08-12,Overdue,0.11,2273869548038045,IDBI Bank
139,467,visa,50000,13151,2024-01-07,2024-02-06,Pending,0.26,4688216824159423,Bank of Maharashtra
140,467,mastercard,400000,326483,2024-10-06,2024-11-05,Paid,0.82,2281993895607036,IDBI Bank
141,593,mastercard,200000,129331,2024-09-10,2024-10-10,Paid,0.65,5415899076306375,Federal Bank
142,593,visa,25000,208,2024-09-22,2024-10-22,Pending,0.01,4553937034749149,HDFC
143,593,discover,150000,90812,2024-07-07,2024-08-06,Overdue,0.61,6011214481152321,HDFC
144,164,mastercard,15000,12434,2024-06-16,2024-07-16,Overdue,0.83,5337549918002816,Union Bank of India
145,164,mastercard,20000,6723,2024-10-11,2024-11-10,Overdue,0.34,5235477375666217,Yes Bank
146,1558,mastercard,100000,7850,2024-10-21,2024-11-20,Paid,0.08,2382307036981754,IDFC First Bank
147,207,visa,15000,3792,2024-05-17,2024-06-16,Overdue,0.25,4595253360118226,Central Bank of India
148,207,mastercard,100000,98028,2024-08-14,2024-09-13,Paid,0.98,2352396559855327,Bank of Maharashtra
149,1532,visa,150000,34999,2024-03-31,2024-04-30,Overdue,0.23,4660939940637806,Union Bank of India
150,1538,visa,200000,148850,2024-06-01,2024-07-01,Paid,0.74,4741030668842563,Central Bank of India
151,929,visa,30000,9557,2024-08-05,2024-09-04,Pending,0.32,4395120423236943,Canara Bank
152,929,mastercard,400000,385536,2024-06-01,2024-07-01,Pending,0.96,2645516809225743,Canara Bank
153,1302,mastercard,40000,15309,2024-05-28,2024-06-27,Paid,0.38,2711340108729522,Kotak Mahindra
154,1302,visa,500000,403778,2024-09-29,2024-10-29,Overdue,0.81,4700975475822092,Axis Bank
155,1302,discover,20000,5386,2024-10-11,2024-11-10,Pending,0.27,6011325365720577,IDBI Bank
156,748,mastercard,75000,15825,2024-07-27,2024-08-26,Overdue,0.21,2391321932241550,Bank of India
157,748,visa,100000,40410,2024-07-12,2024-08-11,Pending,0.4,4434527087244539,IDFC First Bank
158,334,visa,20000,5164,2024-05-19,2024-06-18,Overdue,0.26,4763136874574271,Indian Bank
159,334,visa,30000,27391,2024-07-29,2024-08-28,Pending,0.91,4164603913926130,Punjab National Bank
160,334,visa,400000,130138,2024-01-08,2024-02-07,Pending,0.33,4091413238321902,Union Bank of India
161,759,visa,300000,156678,2024-06-17,2024-07-17,Pending,0.52,4330151705629966,Bank of Baroda
162,728,visa,75000,59270,2024-10-13,2024-11-12,Overdue,0.79,4490355492974859,Federal Bank
163,728,visa,20000,15140,2024-06-06,2024-07-06,Paid,0.76,4762441675699116,Punjab National Bank
164,430,visa,15000,1010,2024-11-13,2024-12-13,Paid,0.07,4571377291512765,Punjab National Bank
165,430,visa,75000,48790,2024-02-05,2024-03-06,Overdue,0.65,4742367739102927,SBI
166,1373,mastercard,20000,714,2024-09-12,2024-10-12,Paid,0.04,2229215268496796,Kotak Mahindra
167,1373,mastercard,500000,67523,2024-04-18,2024-05-18,Paid,0.14,2279263449353493,Canara Bank
168,1373,visa,15000,7552,2024-11-02,2024-12-02,Paid,0.5,4974311830966318,Bank of Baroda
169,547,mastercard,400000,207093,2024-09-30,2024-10-30,Pending,0.52,2231353633764816,HDFC
170,547,mastercard,300000,223694,2024-01-27,2024-02-26,Paid,0.75,2239937921863694,Bank of India
171,1438,visa,25000,9010,2024-04-09,2024-05-09,Pending,0.36,4622722464753929,IDBI Bank
172,1400,visa,15000,10061,2024-03-08,2024-04-07,Overdue,0.67,4083126797824468,Andhra Bank
173,1400,visa,300000,154720,2024-01-20,2024-02-19,Pending,0.52,4407920632922647,Central Bank of India
174,1328,mastercard,15000,1437,2024-07-20,2024-08-19,Pending,0.1,5532080796971123,Union Bank of India
175,147,visa,75000,26143,2024-04-27,2024-05-27,Overdue,0.35,4910876135847394,RBL Bank
176,1248,visa,300000,285032,2024-05-16,2024-06-15,Paid,0.95,4155999254045436,Union Bank of India
177,1248,mastercard,100000,71371,2024-01-30,2024-02-29,Pending,0.71,2283280414955213,Bank of India
178,1248,rupay,150000,84306,2024-03-10,2024-04-09,Pending,0.56,6.22987E+13,HDFC
179,1301,mastercard,200000,57414,2024-06-30,2024-07-30,Paid,0.29,2228459654616978,IDFC First Bank
180,1301,visa,500000,247298,2024-03-23,2024-04-22,Overdue,0.49,4426440749569113,Bank of India
181,1301,rupay,30000,5230,2024-08-24,2024-09-23,Paid,0.17,6.28226E+13,Yes Bank
182,351,mastercard,150000,14656,2024-04-04,2024-05-04,Paid,0.1,2720617004650046,Bank of Maharashtra
183,1094,mastercard,50000,11384,2024-06-07,2024-07-07,Paid,0.23,5145320445882142,Yes Bank
184,1094,mastercard,500000,386979,2024-08-12,2024-09-11,Overdue,0.77,2239601855465013,Bank of India
185,1094,visa,400000,367295,2024-02-29,2024-03-30,Pending,0.92,4392955875599618,Bank of Maharashtra
186,1573,visa,200000,49344,2024-06-25,2024-07-25,Pending,0.25,4591375463038029,Federal Bank
187,1573,mastercard,25000,16070,2024-04-04,2024-05-04,Paid,0.64,5160528240865837,SBI
188,1573,discover,30000,19715,2024-08-07,2024-09-06,Paid,0.66,6011765871655553,HDFC
189,335,mastercard,15000,5435,2024-04-01,2024-05-01,Overdue,0.36,2245639893538062,Kotak Mahindra
190,947,visa,50000,46985,2024-08-27,2024-09-26,Paid,0.94,4543193553721696,Canara Bank
191,947,visa,15000,2420,2024-08-09,2024-09-08,Overdue,0.16,4585954658986149,Punjab National Bank
192,778,visa,150000,95653,2024-10-07,2024-11-06,Paid,0.64,4004514307103141,Bank of India
193,778,mastercard,200000,26484,2024-07-30,2024-08-29,Pending,0.13,2267402940219910,Indian Bank
194,553,mastercard,25000,5161,2024-09-27,2024-10-27,Overdue,0.21,2228016864974744,Central Bank of India
195,553,mastercard,300000,166347,2024-09-06,2024-10-06,Paid,0.55,5436766816342363,Federal Bank
196,553,mastercard,30000,21808,2024-09-22,2024-10-22,Overdue,0.73,5584220131385384,Bank of Baroda
197,1311,mastercard,40000,19301,2024-10-19,2024-11-18,Paid,0.48,5592201778829157,Bank of Baroda
198,1311,visa,400000,300330,2024-09-02,2024-10-02,Pending,0.75,4651277470579358,Bank of Maharashtra
199,1311,discover,25000,19739,2024-01-03,2024-02-02,Pending,0.79,6011467285711003,Andhra Bank
200,1410,visa,300000,296511,2024-09-30,2024-10-30,Paid,0.99,4581070261836201,Bajaj Finserv
201,1141,visa,50000,48846,2024-01-28,2024-02-27,Paid,0.98,4958109235271239,Yes Bank
202,450,mastercard,50000,11002,2024-09-23,2024-10-23,Overdue,0.22,5276860080489969,SBI
203,1403,mastercard,100000,1493,2024-08-13,2024-09-12,Pending,0.01,2271156681162283,Kotak Mahindra
204,665,visa,400000,35543,2024-04-09,2024-05-09,Pending,0.09,4944483841986226,IDFC First Bank
205,665,visa,400000,671,2024-06-06,2024-07-06,Paid,0,4288933303399122,Union Bank of India
206,115,mastercard,400000,220019,2024-04-29,2024-05-29,Paid,0.55,2702538214231330,Central Bank of India
207,470,mastercard,75000,46036,2024-08-25,2024-09-24,Overdue,0.61,2221824536048053,Union Bank of India
208,1562,visa,100000,75766,2024-06-10,2024-07-10,Overdue,0.76,4570651120715026,Yes Bank
209,1562,visa,100000,9661,2024-09-22,2024-10-22,Paid,0.1,4600376532307261,Indian Bank
210,1562,visa,50000,17113,2024-10-08,2024-11-07,Paid,0.34,4057731030824597,SBI
211,647,mastercard,25000,12303,2024-07-29,2024-08-28,Paid,0.49,2443532884622294,SBI
212,822,visa,50000,38930,2024-05-21,2024-06-20,Overdue,0.78,4031214121542080,Bajaj Finserv
213,822,visa,75000,21626,2024-04-04,2024-05-04,Overdue,0.29,4084206676267036,Central Bank of India
214,822,visa,15000,1659,2024-08-22,2024-09-21,Pending,0.11,4461012066372748,Kotak Mahindra
215,549,visa,75000,72628,2024-05-27,2024-06-26,Overdue,0.97,4390204202724140,Federal Bank
216,136,mastercard,300000,147599,2024-10-05,2024-11-04,Pending,0.49,2720535543766232,Yes Bank
217,433,visa,15000,6437,2024-09-16,2024-10-16,Overdue,0.43,4463329808221852,Federal Bank
218,433,mastercard,25000,1786,2024-04-25,2024-05-25,Pending,0.07,2291554206181265,HDFC
219,433,amex,20000,9651,2024-11-10,2024-12-10,Overdue,0.48,3.75953E+14,Andhra Bank
220,1162,mastercard,30000,3178,2024-01-31,2024-03-01,Paid,0.11,2299392354898394,Kotak Mahindra
221,1162,visa,300000,152993,2024-07-05,2024-08-04,Paid,0.51,4723574048609582,Bajaj Finserv
222,645,visa,40000,26048,2024-08-21,2024-09-20,Pending,0.65,4989305349684647,Bajaj Finserv
223,645,mastercard,20000,17829,2024-05-16,2024-06-15,Pending,0.89,5349452376335198,Bank of Baroda
224,436,mastercard,75000,48418,2024-06-08,2024-07-08,Paid,0.65,5268475946317625,IDBI Bank
225,436,visa,40000,28818,2024-11-04,2024-12-04,Pending,0.72,4475756219105694,IDFC First Bank
226,436,discover,40000,36978,2024-05-07,2024-06-06,Paid,0.92,6011991515667727,Punjab National Bank
227,1343,visa,20000,11265,2024-06-19,2024-07-19,Overdue,0.56,4931146179494932,Central Bank of India
228,1343,visa,150000,15986,2024-04-03,2024-05-03,Pending,0.11,4022286554712902,RBL Bank
229,1343,mastercard,150000,124472,2024-10-28,2024-11-27,Overdue,0.83,2290151993950357,Yes Bank
230,1023,mastercard,40000,5174,2024-03-18,2024-04-17,Pending,0.13,5148388647410597,ICICI
231,1023,visa,20000,14714,2024-02-05,2024-03-06,Paid,0.74,4935113582804467,Bank of Baroda
232,811,visa,500000,101043,2024-08-30,2024-09-29,Paid,0.2,4507436809982503,ICICI
233,811,mastercard,20000,14266,2024-07-08,2024-08-07,Paid,0.71,2247014472475912,Punjab National Bank
234,811,rupay,40000,20955,2024-10-29,2024-11-28,Overdue,0.52,6.29887E+13,SBI
235,1317,visa,75000,72923,2024-06-06,2024-07-06,Pending,0.97,4327511231559729,Federal Bank
236,1317,mastercard,40000,34058,2024-03-13,2024-04-12,Pending,0.85,2292726104376366,HDFC
237,1317,rupay,200000,154029,2024-06-28,2024-07-28,Overdue,0.77,6.25629E+13,Axis Bank
238,940,mastercard,25000,4856,2024-02-11,2024-03-12,Overdue,0.19,2278549478355867,Bank of Maharashtra
239,940,visa,20000,18438,2024-01-25,2024-02-24,Paid,0.92,4900779714636026,Indian Bank
240,940,rupay,50000,26928,2024-08-09,2024-09-08,Pending,0.54,6.28189E+13,Bajaj Finserv
241,293,mastercard,15000,2821,2024-05-25,2024-06-24,Pending,0.19,5326196487256069,Union Bank of India
242,293,visa,200000,159555,2024-01-01,2024-01-31,Overdue,0.8,4607366936101819,Union Bank of India
243,293,discover,75000,43449,2024-03-15,2024-04-14,Overdue,0.58,6011689594999371,Yes Bank
244,543,visa,400000,249151,2024-01-25,2024-02-24,Pending,0.62,4070602536252166,Bank of India
245,543,visa,50000,19861,2024-07-31,2024-08-30,Pending,0.4,4332486704206558,IDFC First Bank
246,543,mastercard,400000,359059,2024-05-06,2024-06-05,Paid,0.9,5534101495589319,Yes Bank
247,1571,visa,40000,29039,2024-04-02,2024-05-02,Pending,0.73,4644199570148589,IDFC First Bank
248,1571,mastercard,200000,169228,2024-03-02,2024-04-01,Paid,0.85,2716116355833885,Kotak Mahindra
249,506,mastercard,30000,29931,2024-04-15,2024-05-15,Pending,1,2664312162089058,Bajaj Finserv
250,506,mastercard,15000,8442,2024-11-11,2024-12-11,Paid,0.56,2295314635327179,SBI
251,506,mastercard,400000,265706,2024-09-08,2024-10-08,Pending,0.66,2227296475176118,Punjab National Bank
252,1554,visa,25000,6316,2024-02-28,2024-03-29,Paid,0.25,4931604059517412,ICICI
253,1554,visa,15000,7478,2024-08-14,2024-09-13,Paid,0.5,4070299943974001,Bank of India
254,1104,visa,40000,24140,2024-05-03,2024-06-02,Pending,0.6,4745296789945546,RBL Bank
255,539,mastercard,300000,64945,2024-10-11,2024-11-10,Overdue,0.22,2333860105234349,HDFC
256,539,visa,50000,32033,2024-05-30,2024-06-29,Overdue,0.64,4994118802054445,IDBI Bank
257,1198,visa,100000,76923,2024-08-19,2024-09-18,Overdue,0.77,4262999179176589,Bank of India
258,878,mastercard,25000,8475,2024-04-23,2024-05-23,Overdue,0.34,2509263687308623,SBI
259,878,mastercard,15000,6333,2024-07-11,2024-08-10,Paid,0.42,2695432688220970,Bank of Baroda
260,1196,visa,30000,21213,2024-10-22,2024-11-21,Paid,0.71,4528802704954639,Kotak Mahindra
261,1196,mastercard,300000,214699,2024-11-06,2024-12-06,Overdue,0.72,5553208820983038,HDFC
262,818,visa,100000,17342,2024-07-10,2024-08-09,Overdue,0.17,4366235701773600,Bank of Baroda
263,818,visa,30000,8270,2024-06-18,2024-07-18,Overdue,0.28,4203621915114185,Indian Bank
264,818,mastercard,75000,49345,2024-05-06,2024-06-05,Pending,0.66,5527206567544065,IDBI Bank
265,742,mastercard,30000,15292,2024-10-03,2024-11-02,Pending,0.51,5443915161767663,RBL Bank
266,742,mastercard,200000,26820,2024-04-17,2024-05-17,Paid,0.13,2251744352104330,RBL Bank
267,1476,mastercard,150000,74102,2024-08-23,2024-09-22,Pending,0.49,2663643292713303,Axis Bank
268,1476,mastercard,20000,11019,2024-04-05,2024-05-05,Pending,0.55,5114646246773289,Canara Bank
269,284,mastercard,40000,19581,2024-08-02,2024-09-01,Paid,0.49,2680031649597976,Punjab National Bank
270,284,visa,15000,13196,2024-05-07,2024-06-06,Overdue,0.88,4359579965450127,Union Bank of India
271,284,rupay,50000,44614,2024-05-15,2024-06-14,Paid,0.89,6.21289E+13,Bajaj Finserv
